date,timestamp,latitude,longitude,current(KA),gc,distance_km,address,YEAR
11/2/2015,20:32.9,6.6657,3.1684,-14.2,G,1.402776406,"Ado Odo/Ota, Ogun, 112104, Nigeria",2015
11/2/2015,28:31.9,6.6543,3.1666,-20.5,G,1.993374956,"Ado Odo/Ota, Ogun, 112104, Nigeria",2015
11/2/2015,18:16.3,6.6859,3.1542,-43.8,G,1.903288263,"Isale, Ado Odo/Ota, Ogun, 112104, Nigeria",2015
18/02/2015,33:02.6,6.6739,3.167,39.9,G,1.325408473,"Ado Odo/Ota, Ogun, 112104, Nigeria",2015
23/02/2015,08:04.3,6.677,3.1404,16.8,G,1.955564579,"Ado Odo/Ota, Ogun, 112104, Nigeria",2015
23/02/2015,23:11.8,6.6563,3.1549,-16.3,G,1.406196885,"proposed covenant university college of medcine, Ado Odo/Ota, Ogun, 112104, Nigeria",2015
23/02/2015,25:30.0,6.6773,3.1528,14.2,G,1.004221178,"Ado Odo/Ota, Ogun, Nigeria",2015
23/02/2015,25:30.2,6.6611,3.1719,-10.8,G,1.947015618,"Ado Odo/Ota, Ogun, 112104, Nigeria",2015
23/02/2015,28:34.9,6.6792,3.1483,27.3,G,1.434838167,"Ado Odo/Ota, Ogun, 112104, Nigeria",2015
23/02/2015,28:46.6,6.6709,3.1621,-38.4,G,0.698207666,"Covenant University, Idi-Iroko Road, Ado Odo/Ota, Ogun, 112104, Nigeria",2015
23/02/2015,30:31.9,6.6723,3.1639,25,G,0.940132415,"Ado Odo/Ota, Ogun, 112104, Nigeria",2015
23/02/2015,30:48.8,6.6755,3.1503,22.2,G,0.975857594,"Ado Odo/Ota, Ogun, 112104, Nigeria",2015
23/02/2015,32:33.0,6.6517,3.1512,9,G,1.986790715,"Ado Odo/Ota, Ogun, 112104, Nigeria",2015
23/02/2015,33:53.5,6.6671,3.1464,9.2,G,1.09081186,"Ado Odo/Ota, Ogun, 112104, Nigeria",2015
23/02/2015,34:49.9,6.6845,3.1517,15.3,G,1.802941354,"Ado Odo/Ota, Ogun, 112104, Nigeria",2015
23/02/2015,36:00.1,6.6732,3.1563,-10.7,G,0.479827269,"Covenant University, Idi-Iroko Road, Ado Odo/Ota, Ogun, 112104, Nigeria",2015
23/02/2015,36:10.5,6.6577,3.148,7.4,G,1.533101707,"Ado Odo/Ota, Ogun, 112104, Nigeria",2015
4/3/2015,00:00.5,6.6713,3.1655,-18.9,G,1.071029545,"Ado Odo/Ota, Ogun, 112104, Nigeria",2015
4/3/2015,03:14.2,6.6846,3.1579,-24.2,G,1.758131552,"Ado Odo/Ota, Ogun, 112104, Nigeria",2015
4/3/2015,04:18.7,6.6755,3.1661,-9.3,G,1.325682846,"Ado Odo/Ota, Ogun, 112104, Nigeria",2015
